vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0098,Bike,29.0,0.21,5.96,0.03,24.0,8.0,D008_3,D008_3,HCM
V0099,Motorbike,81.0,0.57,14.38,0.07,115.0,8.0,D008_5,D008_5,HCM
V0102,Cargo Trike,98.0,0.61,14.78,0.1,64.0,8.0,D001_2,D001_2,HCM
V0103,Van,1199.0,13.79,77.75,0.19,294.0,12.0,D001_5,D001_5,HCM
V0104,Motorbike,95.0,0.62,14.9,0.06,119.0,8.0,D001_5,D001_5,HCM
V0111,Motorbike,98.0,0.26,11.8,0.11,90.0,8.0,D009_2,D009_2,HCM
V0116,Motorbike,57.0,0.57,8.26,0.1,120.0,10.0,D009_4,D009_4,HCM
V0118,Bike,35.0,0.26,8.58,0.04,21.0,6.0,D009_4,D009_4,HCM
V0119,EV Van,826.0,11.9,43.44,0.12,169.0,10.0,D001_2,D001_2,HCM
V0120,Motorbike,59.0,0.48,13.27,0.07,94.0,8.0,D009_5,D009_5,HCM
V0122,Bike,38.0,0.17,6.94,0.06,30.0,6.0,D001_5,D001_5,HCM
V0123,Motorbike,84.0,0.46,14.14,0.06,89.0,10.0,D001_2,D001_2,HCM
V0127,EV Van,737.0,10.06,65.25,0.14,201.0,8.0,D001_1,D001_1,HCM
V0129,EV Van,872.0,6.49,40.09,0.16,218.0,10.0,D001_5,D001_5,HCM
V0131,Van,1031.0,9.44,49.31,0.28,207.0,8.0,D009_1,D009_1,HCM
V0133,Van,1079.0,12.03,56.37,0.19,222.0,8.0,D009_4,D009_4,HCM
V0137,Motorbike,66.0,0.47,13.96,0.06,149.0,8.0,D009_4,D009_4,HCM
V0138,Motorbike,62.0,0.63,13.71,0.1,119.0,8.0,D008_1,D008_1,HCM
V0139,Bike,23.0,0.35,9.25,0.08,46.0,6.0,D008_1,D008_1,HCM
V0140,Motorbike,83.0,0.77,8.99,0.11,156.0,8.0,D001_4,D001_4,HCM
V0144,Van,1085.0,13.58,59.91,0.18,331.0,12.0,D009_4,D009_4,HCM
V0146,Van,1095.0,9.97,54.98,0.2,276.0,8.0,D008_5,D008_5,HCM
V0151,EV Van,753.0,6.16,43.28,0.17,178.0,9.0,D009_3,D009_3,HCM
V0158,EV Van,796.0,9.69,53.8,0.1,161.0,10.0,D009_4,D009_4,HCM
V0162,Van,1050.0,12.64,48.88,0.22,333.0,10.0,D008_5,D008_5,HCM
V0170,Bike,28.0,0.36,6.91,0.04,20.0,8.0,D009_2,D009_2,HCM
V0172,Motorbike,99.0,0.29,10.23,0.1,117.0,10.0,D008_2,D008_2,HCM
V0176,Bike,29.0,0.2,6.78,0.05,30.0,8.0,D009_3,D009_3,HCM
V0177,Motorbike,95.0,0.45,9.6,0.06,129.0,8.0,D009_2,D009_2,HCM
V0178,Van,1320.0,13.94,61.08,0.12,315.0,10.0,D008_3,D008_3,HCM
V0179,Motorbike,85.0,0.57,10.75,0.06,70.0,8.0,D008_5,D008_5,HCM
V0180,Bike,29.0,0.31,5.33,0.04,31.0,6.0,D009_1,D009_1,HCM
V0189,Motorbike,54.0,0.38,9.37,0.1,144.0,8.0,D008_2,D008_2,HCM
V0190,Motorbike,83.0,0.41,14.23,0.07,128.0,8.0,D001_1,D001_1,HCM
V0192,Motorbike,98.0,0.57,11.61,0.09,127.0,8.0,D009_3,D009_3,HCM
V0195,Bike,37.0,0.28,9.43,0.08,40.0,6.0,D008_2,D008_2,HCM
V0200,Motorbike,51.0,0.69,13.71,0.11,129.0,10.0,D001_1,D001_1,HCM
V0202,Motorbike,80.0,0.28,13.77,0.08,132.0,8.0,D001_4,D001_4,HCM
V0211,Motorbike,67.0,0.35,9.09,0.12,108.0,10.0,D008_5,D008_5,HCM
V0216,Motorbike,63.0,0.77,12.69,0.06,126.0,10.0,D009_4,D009_4,HCM
V0222,Bike,21.0,0.2,5.28,0.07,48.0,6.0,D001_5,D001_5,HCM
V0229,Bike,28.0,0.31,8.64,0.04,20.0,8.0,D009_4,D009_4,HCM
V0231,Motorbike,91.0,0.27,13.15,0.08,62.0,8.0,D001_1,D001_1,HCM
V0244,Van,1154.0,13.91,73.61,0.17,264.0,10.0,D008_3,D008_3,HCM
V0249,EV Van,973.0,10.54,41.43,0.17,234.0,9.0,D009_5,D009_5,HCM
V0252,Motorbike,88.0,0.52,12.4,0.1,61.0,8.0,D009_4,D009_4,HCM
V0256,Bike,40.0,0.28,9.23,0.07,49.0,8.0,D001_2,D001_2,HCM
V0260,EV Van,865.0,9.56,58.42,0.11,183.0,8.0,D008_3,D008_3,HCM
V0263,EV Van,1188.0,7.26,66.64,0.13,161.0,8.0,D009_1,D009_1,HCM
V0267,EV Van,1097.0,10.02,55.3,0.08,236.0,10.0,D001_4,D001_4,HCM
V0283,Cargo Trike,122.0,0.91,12.69,0.07,73.0,10.0,D009_4,D009_4,HCM
V0288,Bike,27.0,0.35,5.49,0.08,27.0,6.0,D001_1,D001_1,HCM
V0290,Motorbike,97.0,0.45,12.88,0.12,73.0,10.0,D008_4,D008_4,HCM
V0300,Motorbike,100.0,0.22,12.89,0.09,87.0,10.0,D008_4,D008_4,HCM
