vehicle_id,vehicle_type,capacity_weight,capacity_volume,fixed_cost,variable_cost,max_distance_km,max_working_hours,start_depot_id,end_depot_id,region_id
V0101,Van,1459.0,11.58,60.9,0.21,340.0,12.0,D006_3,D006_3,DAN
V0102,Cargo Trike,98.0,0.61,14.78,0.1,64.0,8.0,D001_2,D001_2,HCM
V0103,Van,1199.0,13.79,77.75,0.19,294.0,12.0,D001_5,D001_5,HCM
V0104,Motorbike,95.0,0.62,14.9,0.06,119.0,8.0,D001_5,D001_5,HCM
V0105,Motorbike,50.0,0.58,11.44,0.11,149.0,10.0,D010_5,D010_5,CTO
V0106,EV Van,1152.0,7.29,63.94,0.12,211.0,8.0,D010_5,D010_5,CTO
V0107,Van,1465.0,8.92,67.07,0.13,218.0,10.0,D005_1,D005_1,HAN
V0108,Bike,20.0,0.22,5.49,0.04,47.0,6.0,D002_5,D002_5,HAN
V0109,EV Van,826.0,11.38,65.86,0.1,176.0,8.0,D005_1,D005_1,HAN
V0110,Bike,27.0,0.36,8.52,0.04,39.0,6.0,D005_5,D005_5,HAN
V0111,Motorbike,98.0,0.26,11.8,0.11,90.0,8.0,D009_2,D009_2,HCM
V0112,Motorbike,62.0,0.27,12.17,0.05,86.0,8.0,D002_4,D002_4,HAN
V0113,EV Van,913.0,11.34,50.74,0.09,195.0,8.0,D006_4,D006_4,DAN
V0114,Motorbike,81.0,0.7,11.67,0.09,63.0,10.0,D003_3,D003_3,DAN
V0115,Van,974.0,13.57,50.22,0.27,165.0,8.0,D005_4,D005_4,HAN
V0116,Motorbike,57.0,0.57,8.26,0.1,120.0,10.0,D009_4,D009_4,HCM
V0117,EV Van,811.0,7.98,50.81,0.08,123.0,10.0,D002_4,D002_4,HAN
V0118,Bike,35.0,0.26,8.58,0.04,21.0,6.0,D009_4,D009_4,HCM
V0119,EV Van,826.0,11.9,43.44,0.12,169.0,10.0,D001_2,D001_2,HCM
V0120,Motorbike,59.0,0.48,13.27,0.07,94.0,8.0,D009_5,D009_5,HCM
V0121,Van,1161.0,11.17,78.25,0.16,321.0,12.0,D007_3,D007_3,DAN
V0122,Bike,38.0,0.17,6.94,0.06,30.0,6.0,D001_5,D001_5,HCM
V0123,Motorbike,84.0,0.46,14.14,0.06,89.0,10.0,D001_2,D001_2,HCM
V0124,Bike,38.0,0.26,5.54,0.06,43.0,6.0,D002_2,D002_2,HAN
V0125,Motorbike,72.0,0.62,8.85,0.1,151.0,10.0,D002_3,D002_3,HAN
V0126,Motorbike,70.0,0.68,9.38,0.11,150.0,10.0,D002_1,D002_1,HAN
V0127,EV Van,737.0,10.06,65.25,0.14,201.0,8.0,D001_1,D001_1,HCM
V0128,Motorbike,88.0,0.44,12.86,0.11,82.0,8.0,D003_1,D003_1,DAN
V0129,EV Van,872.0,6.49,40.09,0.16,218.0,10.0,D001_5,D001_5,HCM
V0130,Bike,28.0,0.34,6.39,0.04,40.0,8.0,D002_1,D002_1,HAN
V0131,Van,1031.0,9.44,49.31,0.28,207.0,8.0,D009_1,D009_1,HCM
V0132,Bike,22.0,0.22,5.15,0.06,37.0,6.0,D002_1,D002_1,HAN
V0133,Van,1079.0,12.03,56.37,0.19,222.0,8.0,D009_4,D009_4,HCM
V0134,EV Van,870.0,11.51,46.2,0.15,230.0,8.0,D010_1,D010_1,CTO
V0135,Bike,30.0,0.18,5.06,0.06,38.0,6.0,D004_1,D004_1,CTO
V0136,Motorbike,50.0,0.39,11.32,0.09,75.0,8.0,D004_3,D004_3,CTO
V0137,Motorbike,66.0,0.47,13.96,0.06,149.0,8.0,D009_4,D009_4,HCM
V0138,Motorbike,62.0,0.63,13.71,0.1,119.0,8.0,D008_1,D008_1,HCM
V0139,Bike,23.0,0.35,9.25,0.08,46.0,6.0,D008_1,D008_1,HCM
V0140,Motorbike,83.0,0.77,8.99,0.11,156.0,8.0,D001_4,D001_4,HCM
V0141,Motorbike,66.0,0.31,10.87,0.06,68.0,10.0,D002_4,D002_4,HAN
V0142,Motorbike,79.0,0.63,11.15,0.06,92.0,8.0,D003_5,D003_5,DAN
V0143,Bike,30.0,0.13,9.83,0.05,27.0,6.0,D002_4,D002_4,HAN
V0144,Van,1085.0,13.58,59.91,0.18,331.0,12.0,D009_4,D009_4,HCM
V0145,Van,1376.0,13.85,45.47,0.21,219.0,12.0,D005_5,D005_5,HAN
V0146,Van,1095.0,9.97,54.98,0.2,276.0,8.0,D008_5,D008_5,HCM
V0147,Motorbike,88.0,0.7,13.77,0.12,87.0,10.0,D006_3,D006_3,DAN
V0148,Van,857.0,10.19,63.88,0.17,196.0,8.0,D006_2,D006_2,DAN
V0149,Motorbike,60.0,0.68,10.11,0.09,136.0,8.0,D002_3,D002_3,HAN
V0150,Van,1059.0,12.32,69.62,0.27,349.0,12.0,D007_2,D007_2,DAN
V0151,EV Van,753.0,6.16,43.28,0.17,178.0,9.0,D009_3,D009_3,HCM
V0152,Motorbike,65.0,0.2,14.76,0.08,147.0,8.0,D004_5,D004_5,CTO
V0153,Bike,35.0,0.23,9.04,0.04,48.0,8.0,D004_4,D004_4,CTO
V0154,Bike,37.0,0.12,8.96,0.05,25.0,8.0,D007_2,D007_2,DAN
V0155,Motorbike,71.0,0.25,13.5,0.12,68.0,10.0,D007_1,D007_1,DAN
V0156,Bike,23.0,0.39,6.72,0.08,31.0,8.0,D007_5,D007_5,DAN
V0157,Bike,29.0,0.4,9.16,0.05,25.0,6.0,D005_5,D005_5,HAN
V0158,EV Van,796.0,9.69,53.8,0.1,161.0,10.0,D009_4,D009_4,HCM
V0159,Bike,35.0,0.37,6.21,0.07,39.0,6.0,D004_5,D004_5,CTO
V0160,Bike,27.0,0.17,8.77,0.05,25.0,6.0,D004_2,D004_2,CTO
V0161,Van,1103.0,11.14,62.93,0.24,266.0,10.0,D006_2,D006_2,DAN
V0162,Van,1050.0,12.64,48.88,0.22,333.0,10.0,D008_5,D008_5,HCM
V0163,Bike,37.0,0.23,7.19,0.05,30.0,6.0,D010_3,D010_3,CTO
V0164,Van,937.0,10.07,69.59,0.16,304.0,8.0,D005_5,D005_5,HAN
V0165,Motorbike,79.0,0.29,13.69,0.11,151.0,8.0,D004_3,D004_3,CTO
V0166,Motorbike,91.0,0.49,14.4,0.1,140.0,10.0,D004_3,D004_3,CTO
V0167,Van,976.0,13.7,61.89,0.23,162.0,10.0,D010_3,D010_3,CTO
V0168,Van,1474.0,9.58,65.09,0.25,284.0,8.0,D010_4,D010_4,CTO
V0169,Van,1203.0,9.07,78.86,0.14,254.0,10.0,D004_5,D004_5,CTO
V0170,Bike,28.0,0.36,6.91,0.04,20.0,8.0,D009_2,D009_2,HCM
V0171,Motorbike,99.0,0.33,12.65,0.12,127.0,10.0,D005_2,D005_2,HAN
V0172,Motorbike,99.0,0.29,10.23,0.1,117.0,10.0,D008_2,D008_2,HCM
V0173,Van,1297.0,12.88,49.34,0.15,273.0,12.0,D010_3,D010_3,CTO
V0174,Bike,36.0,0.32,9.0,0.04,29.0,6.0,D006_3,D006_3,DAN
V0175,Bike,28.0,0.12,5.55,0.06,23.0,8.0,D005_1,D005_1,HAN
V0176,Bike,29.0,0.2,6.78,0.05,30.0,8.0,D009_3,D009_3,HCM
V0177,Motorbike,95.0,0.45,9.6,0.06,129.0,8.0,D009_2,D009_2,HCM
V0178,Van,1320.0,13.94,61.08,0.12,315.0,10.0,D008_3,D008_3,HCM
V0179,Motorbike,85.0,0.57,10.75,0.06,70.0,8.0,D008_5,D008_5,HCM
V0180,Bike,29.0,0.31,5.33,0.04,31.0,6.0,D009_1,D009_1,HCM
V0181,EV Van,913.0,7.02,49.24,0.08,138.0,9.0,D006_5,D006_5,DAN
V0182,Bike,22.0,0.32,8.21,0.04,35.0,8.0,D003_5,D003_5,DAN
V0183,Van,958.0,8.06,75.6,0.23,286.0,8.0,D004_5,D004_5,CTO
V0184,Bike,30.0,0.21,6.37,0.07,43.0,8.0,D004_1,D004_1,CTO
V0185,EV Van,1186.0,10.86,52.06,0.1,218.0,8.0,D002_4,D002_4,HAN
V0186,Motorbike,94.0,0.68,12.82,0.08,158.0,8.0,D002_2,D002_2,HAN
V0187,Cargo Trike,126.0,0.89,14.19,0.11,76.0,8.0,D007_3,D007_3,DAN
V0188,Motorbike,52.0,0.57,14.49,0.07,109.0,10.0,D007_3,D007_3,DAN
V0189,Motorbike,54.0,0.38,9.37,0.1,144.0,8.0,D008_2,D008_2,HCM
V0190,Motorbike,83.0,0.41,14.23,0.07,128.0,8.0,D001_1,D001_1,HCM
V0191,Bike,26.0,0.16,5.07,0.05,34.0,6.0,D006_2,D006_2,DAN
V0192,Motorbike,98.0,0.57,11.61,0.09,127.0,8.0,D009_3,D009_3,HCM
V0193,EV Van,1137.0,8.29,43.09,0.14,219.0,8.0,D002_1,D002_1,HAN
V0194,Van,1188.0,10.14,45.46,0.14,222.0,8.0,D003_1,D003_1,DAN
V0195,Bike,37.0,0.28,9.43,0.08,40.0,6.0,D008_2,D008_2,HCM
V0196,Motorbike,95.0,0.71,8.58,0.11,153.0,8.0,D003_5,D003_5,DAN
V0197,Van,879.0,9.75,47.32,0.21,330.0,10.0,D003_2,D003_2,DAN
V0198,Bike,27.0,0.36,7.86,0.03,35.0,8.0,D002_4,D002_4,HAN
V0199,Motorbike,95.0,0.59,9.91,0.06,73.0,10.0,D002_2,D002_2,HAN
V0200,Motorbike,51.0,0.69,13.71,0.11,129.0,10.0,D001_1,D001_1,HCM
V0201,Motorbike,67.0,0.69,8.13,0.09,82.0,10.0,D002_5,D002_5,HAN
V0202,Motorbike,80.0,0.28,13.77,0.08,132.0,8.0,D001_4,D001_4,HCM
V0203,Cargo Trike,97.0,1.36,10.77,0.06,68.0,9.0,D006_1,D006_1,DAN
V0204,Motorbike,97.0,0.44,13.29,0.08,92.0,8.0,D010_1,D010_1,CTO
V0205,Van,1195.0,13.8,50.18,0.19,282.0,12.0,D004_5,D004_5,CTO
V0206,Bike,29.0,0.35,5.32,0.04,37.0,8.0,D006_5,D006_5,DAN
V0207,Motorbike,62.0,0.48,10.18,0.07,141.0,10.0,D005_1,D005_1,HAN
V0208,Bike,39.0,0.37,8.88,0.04,34.0,6.0,D005_1,D005_1,HAN
V0209,EV Van,1175.0,7.26,68.89,0.11,197.0,8.0,D002_2,D002_2,HAN
V0210,Bike,26.0,0.38,9.85,0.07,27.0,6.0,D004_4,D004_4,CTO
V0211,Motorbike,67.0,0.35,9.09,0.12,108.0,10.0,D008_5,D008_5,HCM
V0212,Van,823.0,10.1,67.67,0.26,316.0,10.0,D004_5,D004_5,CTO
V0213,EV Van,884.0,6.96,65.9,0.14,129.0,10.0,D002_4,D002_4,HAN
V0214,Motorbike,72.0,0.76,9.28,0.08,125.0,10.0,D002_2,D002_2,HAN
V0215,Motorbike,80.0,0.62,14.96,0.08,76.0,10.0,D002_3,D002_3,HAN
V0216,Motorbike,63.0,0.77,12.69,0.06,126.0,10.0,D009_4,D009_4,HCM
V0217,Van,835.0,10.27,56.73,0.21,270.0,12.0,D003_2,D003_2,DAN
V0218,Van,1478.0,12.79,58.17,0.2,225.0,12.0,D004_1,D004_1,CTO
V0219,Motorbike,56.0,0.72,14.54,0.11,100.0,8.0,D004_2,D004_2,CTO
V0220,Motorbike,89.0,0.45,8.55,0.06,99.0,8.0,D007_3,D007_3,DAN
V0221,Motorbike,72.0,0.53,9.56,0.1,145.0,8.0,D002_1,D002_1,HAN
V0222,Bike,21.0,0.2,5.28,0.07,48.0,6.0,D001_5,D001_5,HCM
V0223,Motorbike,55.0,0.41,9.11,0.05,106.0,8.0,D003_4,D003_4,DAN
V0224,Motorbike,98.0,0.34,8.15,0.08,107.0,10.0,D005_3,D005_3,HAN
V0225,Van,1191.0,11.81,70.66,0.16,248.0,10.0,D006_4,D006_4,DAN
V0226,Motorbike,73.0,0.23,10.2,0.09,157.0,10.0,D005_2,D005_2,HAN
V0227,Van,1296.0,9.21,77.19,0.26,287.0,10.0,D004_5,D004_5,CTO
V0228,Cargo Trike,129.0,1.13,17.18,0.11,83.0,8.0,D007_1,D007_1,DAN
V0229,Bike,28.0,0.31,8.64,0.04,20.0,8.0,D009_4,D009_4,HCM
V0230,Bike,34.0,0.19,8.25,0.05,20.0,8.0,D010_3,D010_3,CTO
V0231,Motorbike,91.0,0.27,13.15,0.08,62.0,8.0,D001_1,D001_1,HCM
V0232,EV Van,789.0,10.27,65.15,0.12,235.0,10.0,D005_2,D005_2,HAN
V0233,Motorbike,84.0,0.29,10.43,0.07,137.0,10.0,D002_3,D002_3,HAN
V0234,Motorbike,77.0,0.28,14.7,0.06,94.0,10.0,D010_5,D010_5,CTO
V0235,Bike,39.0,0.16,9.1,0.04,43.0,6.0,D010_5,D010_5,CTO
V0236,Motorbike,76.0,0.32,8.66,0.08,88.0,8.0,D004_3,D004_3,CTO
V0237,Bike,35.0,0.33,7.01,0.05,48.0,6.0,D004_5,D004_5,CTO
V0238,Cargo Trike,128.0,0.69,17.12,0.08,53.0,10.0,D010_4,D010_4,CTO
V0239,Bike,21.0,0.24,5.81,0.04,25.0,6.0,D010_1,D010_1,CTO
V0240,Bike,27.0,0.35,9.1,0.08,26.0,8.0,D007_1,D007_1,DAN
V0241,Van,1340.0,8.85,67.32,0.18,195.0,10.0,D007_2,D007_2,DAN
V0242,Motorbike,74.0,0.23,11.55,0.1,99.0,10.0,D005_5,D005_5,HAN
V0243,Cargo Trike,111.0,1.42,13.09,0.1,87.0,8.0,D005_3,D005_3,HAN
V0244,Van,1154.0,13.91,73.61,0.17,264.0,10.0,D008_3,D008_3,HCM
V0245,Van,1002.0,12.13,70.28,0.24,190.0,12.0,D005_1,D005_1,HAN
V0246,Motorbike,99.0,0.6,14.63,0.09,72.0,8.0,D004_2,D004_2,CTO
V0247,Van,1180.0,12.15,45.18,0.21,252.0,8.0,D006_3,D006_3,DAN
V0248,Motorbike,98.0,0.58,12.13,0.1,74.0,8.0,D002_1,D002_1,HAN
V0249,EV Van,973.0,10.54,41.43,0.17,234.0,9.0,D009_5,D009_5,HCM
V0250,EV Van,812.0,11.38,66.12,0.17,166.0,8.0,D003_5,D003_5,DAN
V0251,Bike,40.0,0.29,9.25,0.04,32.0,6.0,D007_5,D007_5,DAN
V0252,Motorbike,88.0,0.52,12.4,0.1,61.0,8.0,D009_4,D009_4,HCM
V0253,EV Van,856.0,7.07,65.74,0.11,225.0,10.0,D004_3,D004_3,CTO
V0254,Van,1209.0,9.58,48.91,0.14,285.0,8.0,D002_3,D002_3,HAN
V0255,Motorbike,96.0,0.52,12.62,0.08,65.0,8.0,D003_5,D003_5,DAN
V0256,Bike,40.0,0.28,9.23,0.07,49.0,8.0,D001_2,D001_2,HCM
V0257,Motorbike,81.0,0.46,9.18,0.06,150.0,10.0,D004_1,D004_1,CTO
V0258,EV Van,887.0,8.61,46.69,0.11,155.0,9.0,D007_2,D007_2,DAN
V0259,EV Van,815.0,6.23,68.47,0.09,216.0,10.0,D007_3,D007_3,DAN
V0260,EV Van,865.0,9.56,58.42,0.11,183.0,8.0,D008_3,D008_3,HCM
V0261,Motorbike,57.0,0.56,10.63,0.08,148.0,10.0,D007_4,D007_4,DAN
V0262,Van,1090.0,13.42,60.81,0.19,176.0,10.0,D007_4,D007_4,DAN
V0263,EV Van,1188.0,7.26,66.64,0.13,161.0,8.0,D009_1,D009_1,HCM
V0264,Bike,40.0,0.11,6.23,0.08,23.0,8.0,D003_5,D003_5,DAN
V0265,Motorbike,87.0,0.27,12.79,0.06,106.0,8.0,D010_5,D010_5,CTO
V0266,Van,1355.0,10.87,75.03,0.28,316.0,12.0,D004_4,D004_4,CTO
V0267,EV Van,1097.0,10.02,55.3,0.08,236.0,10.0,D001_4,D001_4,HCM
V0268,Van,1170.0,8.37,56.53,0.15,342.0,12.0,D004_3,D004_3,CTO
V0269,Bike,35.0,0.12,8.1,0.08,49.0,6.0,D005_1,D005_1,HAN
V0270,Motorbike,86.0,0.21,9.16,0.12,82.0,8.0,D010_2,D010_2,CTO
V0271,Van,1222.0,8.31,45.1,0.23,249.0,10.0,D010_4,D010_4,CTO
V0272,Motorbike,70.0,0.32,13.49,0.05,61.0,8.0,D007_2,D007_2,DAN
V0273,Bike,29.0,0.37,7.61,0.04,26.0,8.0,D002_5,D002_5,HAN
V0274,EV Van,1138.0,11.68,45.92,0.12,127.0,10.0,D005_3,D005_3,HAN
V0275,Motorbike,66.0,0.39,11.27,0.09,71.0,8.0,D005_3,D005_3,HAN
V0276,Van,959.0,8.86,62.8,0.26,291.0,8.0,D005_4,D005_4,HAN
V0277,EV Van,811.0,8.23,48.83,0.17,214.0,10.0,D007_2,D007_2,DAN
V0278,Motorbike,76.0,0.69,12.53,0.12,123.0,10.0,D004_3,D004_3,CTO
V0279,Motorbike,55.0,0.22,9.27,0.11,143.0,8.0,D006_1,D006_1,DAN
V0280,Bike,37.0,0.22,9.87,0.07,25.0,6.0,D003_5,D003_5,DAN
V0281,EV Van,1070.0,9.09,51.81,0.1,198.0,10.0,D010_1,D010_1,CTO
V0282,Motorbike,58.0,0.69,14.33,0.08,99.0,8.0,D003_3,D003_3,DAN
V0283,Cargo Trike,122.0,0.91,12.69,0.07,73.0,10.0,D009_4,D009_4,HCM
V0284,EV Van,1149.0,10.81,56.96,0.09,214.0,9.0,D005_5,D005_5,HAN
V0285,Bike,37.0,0.13,9.65,0.04,41.0,6.0,D010_5,D010_5,CTO
V0286,Van,982.0,13.33,53.02,0.28,253.0,12.0,D004_2,D004_2,CTO
V0287,EV Van,909.0,7.43,45.37,0.14,135.0,9.0,D006_1,D006_1,DAN
V0288,Bike,27.0,0.35,5.49,0.08,27.0,6.0,D001_1,D001_1,HCM
V0289,Van,1391.0,8.61,74.55,0.18,159.0,8.0,D006_3,D006_3,DAN
V0290,Motorbike,97.0,0.45,12.88,0.12,73.0,10.0,D008_4,D008_4,HCM
V0291,Motorbike,84.0,0.26,10.2,0.09,70.0,10.0,D002_1,D002_1,HAN
V0292,Cargo Trike,81.0,0.8,16.0,0.09,47.0,8.0,D006_5,D006_5,DAN
V0293,Motorbike,72.0,0.63,14.17,0.08,66.0,8.0,D003_3,D003_3,DAN
V0294,Van,803.0,13.72,72.81,0.27,311.0,8.0,D010_1,D010_1,CTO
